iter	Passed	Remaining
0	7	713
1	13	642
2	19	626
3	26	627
4	33	636
5	42	669
6	52	691
7	61	712
8	71	724
9	81	732
10	92	752
11	106	777
12	115	774
13	127	780
14	139	789
15	150	791
16	160	782
17	169	773
18	179	763
19	189	756
20	199	750
21	209	741
22	219	735
23	231	732
24	240	722
25	250	711
26	258	698
27	267	688
28	276	676
29	286	667
30	295	657
31	305	649
32	317	645
33	329	638
34	341	633
35	351	624
36	361	615
37	371	605
38	382	597
39	398	597
40	411	592
41	421	582
42	432	573
43	443	564
44	453	554
45	465	546
46	477	538
47	486	526
48	496	516
49	506	506
50	516	495
51	525	485
52	534	474
53	546	465
54	561	459
55	564	443
56	574	433
57	583	422
58	593	412
59	603	402
60	612	391
61	622	381
62	632	371
63	645	363
64	657	354
65	667	344
66	678	333
67	688	324
68	697	313
69	708	303
70	718	293
71	728	283
72	740	273
73	749	263
74	761	253
75	771	243
76	780	233
77	790	223
78	801	213
79	813	203
80	823	193
81	834	183
82	845	173
83	856	163
84	867	153
85	876	142
86	886	132
87	897	122
88	907	112
89	918	102
90	928	91
91	938	81
92	949	71
93	960	61
94	969	51
95	979	40
96	989	30
97	999	20
98	1010	10
99	1020	0
